Item,Quantity,Name,Material
1,1,top_endstop_plug_mgn12,PETG
2,1,top_mgn12,PETG
3,25,"M3  Hex nut ",Hardened Alloy Steel
4,5,DIN 912 M3 8 mm,Hardened Alloy Steel
5,4,DIN 912 M3 35 mm,Hardened Alloy Steel
6,8,DIN 912 M3 10 mm,Hardened Alloy Steel
7,1,back_corexy,PETG
8,1,tension_slider_9mm_belt_M5,PETG
9,1,tension_slider_9mm_belt_M5_mirror,PETG
10,3,DIN 912 M3 25 mm,Hardened Alloy Steel
11,1,5015 fan,- None -
12,2,DIN 912 M5 45 mm,Hardened Alloy Steel
13,2,M5  Hex nut Nyloc,Hardened Alloy Steel
14,1,bottom_mgn12_short_duct,PETG
15,5,DIN 912 M3 12 mm,Hardened Alloy Steel
16,1,Duct v2.1 Straight,PETG
17,1,cable_holder,PETG
18,1,unversal_cable_mount,PETG
19,1,4010 FAN,- None -
20,4,DIN 912 M3 20 mm,Hardened Alloy Steel
21,1,Dragon hotend,- None -
22,1,universal_face,PETG
23,2,face_belt_grabber,PETG
24,1,dragon_face,PETG
25,1,v6_support,PETG
26,1,shroud,PETG
27,1,PC4-M6,- None -
28,1,PTFE 60mm,- None -